state,age,grade,hours,num612,num1317,youngest,othrlt18,othrge18,bmodk5,white,centcity,public,quarter,numge18
4,24.75,12,0,0,0,1,0,0,15,0,0,0,0,0
4,25.5,12,0,1,0,5,1,1,4,0,0,1,0,0
4,39.5,14,30,0,0,5,0,0,26,1,0,1,2,0
4,26.75,10,40,2,0,5,0,0,6,0,0,0,3,0
4,25.5,13,50,0,0,3,0,0,4,1,0,0,2,0
4,29.25,12,40,1,0,5,0,0,99,0,0,0,2,0
4,28,12,24,0,0,2,0,0,4,1,0,0,3,0
4,26.5,9,40,0,0,2,0,0,4,1,0,0,3,0
4,32.5,12,21,0,1,5,0,0,4,1,0,1,1,0
4,29,12,40,1,0,5,0,1,6,1,0,0,2,0
4,39.5,5,0,3,2,2,0,0,4,0,0,0,3,0
4,38.75,12,0,0,1,3,1,0,4,0,0,0,3,1
4,32.5,15,0,3,1,0,0,0,4,0,0,0,3,0
4,45.25,-3,0,2,0,5,0,0,4,0,0,0,3,3
4,49,7,0,1,3,5,0,0,4,0,0,1,2,2
4,40.5,9,0,0,1,2,1,0,4,0,0,1,2,0
4,32.25,12,40,3,1,5,0,0,4,0,0,1,2,0
4,37.75,10,0,1,3,5,0,0,4,0,0,1,3,0
4,26.25,7,20,0,0,2,0,2,4,0,0,1,1,0
4,21.75,10,0,0,0,5,0,0,1,0,0,1,3,0
4,25.25,13,54,0,0,1,0,1,4,0,0,0,0,0
4,37.75,20,40,0,0,3,0,0,99,1,0,0,3,0
4,31.75,12,34,1,1,5,0,1,4,1,0,0,0,0
4,35,13,40,0,0,2,0,0,99,0,0,1,2,0
4,29.5,13,40,0,0,5,0,0,4,1,0,1,2,0
4,31.25,12,40,2,0,5,0,0,42,1,0,1,2,0
4,23.75,10,40,0,0,5,1,1,4,1,0,0,3,0
4,44.25,6,0,0,0,3,0,1,4,1,0,1,3,0
4,27.75,14,40,0,0,5,0,0,4,1,0,1,2,0
4,37.25,8,40,0,2,5,0,0,4,1,0,1,0,0
4,32,14,40,1,0,5,0,0,36,1,0,0,0,0
4,43.75,2,0,1,2,5,0,0,4,0,0,0,1,0
4,29.5,13,42,1,0,5,0,0,6,1,0,0,0,0
4,41,6,47,1,2,5,0,0,99,1,0,0,3,0
4,26.25,12,44,0,0,5,0,1,4,1,1,1,3,0
4,27.75,11,0,0,0,0,1,0,42,1,1,1,1,0
4,24.25,12,40,0,0,2,0,0,4,1,1,0,3,0
4,33.5,13,0,2,1,5,0,2,4,1,1,1,3,0
4,29,13,40,1,0,5,0,0,6,1,1,1,1,0
4,21.75,8,0,0,0,0,0,0,4,0,1,0,3,0
4,27,11,50,1,0,5,0,0,4,0,1,1,1,0
4,30.75,12,0,0,1,5,0,1,6,1,1,1,2,0
4,26,12,0,0,0,0,0,0,4,1,1,1,2,0
4,31,12,40,0,0,5,0,0,17,1,1,0,0,0
4,45.75,15,40,0,0,5,0,0,4,1,1,1,2,0
4,27.75,12,0,1,0,1,0,0,4,0,1,1,1,0
4,28.5,11,0,0,0,5,0,0,4,0,1,0,2,0
4,31,12,40,0,1,5,0,0,27,1,1,1,2,0
4,22.75,13,40,0,0,2,0,0,4,0,1,1,0,0
4,43.25,8,0,0,0,5,0,0,48,1,1,0,2,1
4,24.75,13,40,0,0,5,0,0,27,1,1,1,1,0
4,27.75,6,20,0,0,5,0,0,4,0,1,1,3,0
4,23.25,12,40,0,0,5,0,0,26,1,1,0,0,0
4,26.75,14,40,0,0,3,0,0,4,1,1,0,0,0
4,31,14,44,1,0,5,0,1,4,1,1,0,3,0
4,37,18,12,1,0,5,0,1,55,1,1,0,3,0
4,22.75,12,0,1,0,3,0,1,6,1,1,0,0,0
4,26.25,12,35,0,0,5,0,0,4,1,1,0,0,0
4,40.25,12,30,0,2,5,0,0,4,0,1,1,2,1
4,23.75,11,40,0,0,3,0,1,4,0,1,1,3,0
4,25.75,12,0,1,0,5,0,0,16,1,1,1,1,0
4,31.25,15,40,0,0,5,0,0,6,1,1,0,1,0
4,24.5,12,40,0,0,3,0,0,36,1,0,1,1,0
4,25.75,12,40,0,0,5,0,1,36,0,0,1,2,0
4,25.5,14,30,0,0,5,0,0,34,1,0,0,2,0
4,29.5,12,0,1,0,5,0,0,4,1,0,0,3,0
4,30.5,12,46,2,0,5,0,0,4,1,0,1,1,0
4,39.25,14,48,1,1,4,0,0,17,1,0,0,2,0
4,26.75,10,40,0,0,4,0,0,4,1,0,0,1,0
4,30.5,2,0,2,1,5,0,0,99,0,0,1,3,0
4,33.5,3,0,0,0,4,1,0,1,0,0,1,3,0
4,42.25,12,35,1,2,5,0,0,4,0,0,1,1,0
4,30,12,0,0,0,5,0,0,4,0,0,1,0,0
